policy,prompt_class,metric,pooled_n,pooled_mean,pooled_median,pooled_sd,pooled_min,pooled_max,pooled_p90_nearest_rank,pooled_p95_nearest_rank,run_mean_n,run_mean_mean,run_mean_median,run_mean_sd,run_mean_min,run_mean_max,run_mean_p90_nearest_rank,run_mean_p95_nearest_rank,run_median_n,run_median_mean,run_median_median,run_median_sd,run_median_min,run_median_max,run_median_p90_nearest_rank,run_median_p95_nearest_rank
baseline,overall,ttft_ms,900,86.43150632111112,65.647891,119.43309918585231,22.977689,1114.190478,100.16588,119.771184,15,86.43150632111112,87.26020815,11.587237563346326,54.024609299999995,106.36384523333332,,,15,65.8987745,66.883633,4.3378449035974045,52.959078,69.933176,,
baseline,overall,queue_wait_ms,900,49.03800315444444,27.094662,118.80656272767558,0.019005,1073.642408,58.044496,75.171602,15,49.038003154444446,49.865162000000005,9.741149683577017,23.121187066666668,67.38875686666667,,,15,27.1003546,27.343741,1.277764756707241,23.192493,28.881069500000002,,
baseline,overall,e2e_latency_ms,900,9013.482971023333,9111.603014,4402.957212858524,410.379123,18273.511645,14952.182683,15750.921778,15,9013.482971023333,9074.355350616668,515.3726919427012,7486.925033183334,9886.546018866668,,,15,9133.9458669,9206.08972,544.1017998904213,7399.008600499999,9955.1163715,,
baseline,short,ttft_ms,300,80.76844614333334,61.805949999999996,116.92114302958727,24.981602,1014.324632,97.196848,110.74533,15,80.76844614333332,68.01710030000001,32.83536814596196,53.20450395,143.88906415,,,15,61.852403566666666,60.6612725,7.163781091580074,52.895244500000004,73.2370225,,
baseline,short,queue_wait_ms,300,44.31639877666667,26.416031,116.01294642253768,0.019005,970.759522,55.733222,66.163011,15,44.31639877666667,30.366082999999996,31.883442871520224,21.21672045,106.42300735,,,15,26.909763166666668,26.6732185,1.6370432643912867,23.6092595,29.4346565,,
baseline,short,e2e_latency_ms,300,8522.09124876,7997.0650175,4442.985142105071,478.523813,17284.104386,14921.712623,15737.688704,15,8522.09124876,8963.281168149999,1410.3383713511384,6465.98376595,10477.1288716,,,15,7989.3618606,8620.911597,1708.87095997005,5634.067081,10218.197583500001,,
baseline,medium,ttft_ms,300,85.90122625333333,66.4793945,117.43623648411807,22.977689,875.363817,98.126765,107.879153,15,85.90122625333333,88.720812,18.18456150098765,54.459061399999996,112.49334875,,,15,65.76573163333333,66.3046315,5.005543338319458,56.087072,74.7694005,,
baseline,medium,queue_wait_ms,300,48.88108579666667,27.160023000000002,117.05419248179177,0.019941,838.793209,57.245015,61.434695,15,48.88108579666667,49.3336041,16.793653486210776,25.3341514,74.51391650000001,,,15,27.125305766666667,26.9791635,1.52968010919795,23.096076500000002,29.948931,,
baseline,medium,e2e_latency_ms,300,9766.987986986667,10034.9596965,4487.25526776397,410.379123,17922.76678,15233.769322,15737.871216,15,9766.987986986667,10264.9442389,1175.3151551065519,6893.33595545,11224.03226965,,,15,10102.583165466667,10120.301028000002,700.1079031442092,7978.564547999999,11409.913249000001,,
baseline,long,ttft_ms,300,92.62484656666666,69.0003705,123.91706890481947,24.383632,1114.190478,102.087334,174.137997,15,92.62484656666668,87.168419,25.44611574060574,53.69339475,150.56866425,,,15,69.64163546666667,69.2002275,7.628235145448462,52.235910000000004,90.0648165,,
