run_id,policy,trace_seed,repeat_index,request_id,first_selection_order_all,finish_order_all,first_selection_order_long,finish_order_long,queue_wait_ms,ttft_ms,e2e_latency_ms
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000001,1,1,1,1,0.041332,31.985728,505.338499
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000002,2,2,2,2,31.850076,62.025258,1006.010747
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000003,3,3,3,3,61.904125,96.049016,1510.11953
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000006,6,6,4,4,53.141949,101.065296,2765.286268
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000008,8,8,5,5,26.361216,56.116268,3494.139867
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000011,11,11,6,6,25.653409,66.525455,4482.372924
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000014,14,14,7,7,25.564222,56.342127,5265.816702
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000016,16,16,8,8,0.025096,38.058051,5657.106203
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000019,19,19,9,9,0.023583,40.964516,6374.162766
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000020,20,20,10,10,33.833403,68.214217,6686.669871
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000023,23,23,11,11,24.807943,68.751869,7423.39907
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000027,27,27,12,12,51.034005,83.531998,8466.894373
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000030,30,30,13,13,64.565458,102.087334,9203.372442
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000036,36,36,14,14,54.457756,85.904953,10628.396137
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000037,37,37,15,15,0.022483,45.329354,10691.271424
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000040,40,40,16,16,0.025174,38.345901,11413.971494
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000045,45,45,17,17,53.894551,96.06006,12763.012978
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000046,46,46,18,18,0.021991,30.086995,12850.852339
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000053,53,53,19,19,25.647961,57.796919,14595.988488
formal-mixed-v1-seed101-rep0-baseline,baseline,101,0,formal-101-000059,59,59,20,20,479.752846,518.127065,16063.650998
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000005,5,5,1,1,26.668358,54.995138,2240.017816
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000011,11,11,2,2,25.962563,61.899408,4721.186584
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000012,12,12,3,3,53.974699,94.228452,5080.311242
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000016,16,16,4,4,0.024198,39.081127,5946.475646
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000021,21,21,5,5,53.458401,90.416244,7385.094655
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000028,28,28,6,6,0.022651,39.27482,9124.653245
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000029,29,29,7,7,28.56186,68.194534,9545.072395
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000033,33,33,8,8,52.65414,98.034041,10683.866282
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000035,35,35,9,9,27.63273,60.665154,11156.363705
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000036,36,36,10,10,54.70018,89.713389,11520.736073
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000037,37,37,11,11,0.037629,77.847915,11629.427319
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000038,38,38,12,12,47.312804,127.645944,11995.071021
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000039,39,39,13,13,97.134668,176.000715,12360.619707
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000041,41,41,14,14,50.660637,112.871456,12873.822378
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000044,44,44,15,15,27.911156,55.221094,13727.223067
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000048,48,48,16,16,53.683902,101.604863,14887.73422
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000053,53,53,17,17,30.880435,66.986163,16153.645415
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000054,54,54,18,18,59.747052,93.35943,16529.783625
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000058,58,58,19,19,349.814315,389.14292,17562.282633
formal-mixed-v1-seed202-rep0-baseline,baseline,202,0,formal-202-000060,60,60,20,20,1073.642408,1114.190478,18273.511645
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000005,5,5,1,1,28.266795,67.112801,2230.205681
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000010,10,10,2,2,0.024373,46.705827,4143.460036
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000012,12,12,3,3,52.635549,98.425748,4839.746588
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000013,13,13,4,4,0.02328,34.337155,4946.867459
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000015,15,15,5,5,57.705975,90.07324,5593.503844
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000017,17,17,6,6,30.524442,77.17968,6006.120769
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000018,18,18,7,7,60.769674,108.221945,6320.691709
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000019,19,19,8,8,0.023416,40.491979,6389.834778
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000023,23,23,9,9,26.306746,71.821125,7477.942362
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000025,25,25,10,10,0.022099,30.891523,7864.117477
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000027,27,27,11,11,55.834727,85.236118,8511.679192
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000029,29,29,12,12,26.561644,57.569513,8954.048525
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000033,33,33,13,13,61.266781,100.772739,10016.912976
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000038,38,38,14,14,24.561837,61.3248,11151.988244
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000041,41,41,15,15,25.98646,56.667393,11872.535151
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000043,43,43,16,16,0.022352,43.750485,12312.807194
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000044,44,44,17,17,29.216253,72.567641,12636.478158
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000045,45,45,18,18,58.044496,101.460381,12966.455698
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000052,52,52,19,19,0.021779,34.795811,14489.130026
formal-mixed-v1-seed303-rep0-baseline,baseline,303,0,formal-303-000058,58,58,20,20,126.253637,174.137997,15962.449099
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000001,1,1,1,1,0.038466,32.08566,503.806319
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000002,2,2,2,2,32.003396,61.602087,992.05835
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000003,3,3,3,3,61.537067,90.674561,1522.584768
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000006,6,6,4,4,58.450984,100.16588,2768.029256
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000008,8,8,5,5,29.317616,74.346986,3487.676959
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000011,11,11,6,6,27.616223,69.85326,4481.583368
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000014,14,14,7,7,25.956578,63.430682,5259.455199
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000016,16,16,8,8,0.02221,34.630071,5658.709444
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000019,19,19,9,9,0.085863,61.385065,6409.895675
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000020,20,20,10,10,40.490531,101.289716,6735.541353
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000023,23,23,11,11,26.702135,70.791215,7474.953576
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000027,27,27,12,12,50.960755,90.483513,8602.623887
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000030,30,30,13,13,53.307469,81.377167,9326.959961
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000036,36,36,14,14,51.640186,99.136839,10861.437657
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000037,37,37,15,15,0.022071,45.180201,10931.309371
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000040,40,40,16,16,0.021949,28.550854,11667.239784
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000045,45,45,17,17,50.725581,84.381916,13044.271615
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000046,46,46,18,18,0.023042,32.966721,13137.685876
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000053,53,53,19,19,29.78656,60.285305,14926.807575
formal-mixed-v1-seed101-rep1-baseline,baseline,101,1,formal-101-000059,59,59,20,20,479.652812,515.852819,16412.444748
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000005,5,5,1,1,25.825056,73.179183,2135.081593
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000011,11,11,2,2,25.483919,60.129469,4342.645567
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000012,12,12,3,3,52.660266,86.058837,4689.879236
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000016,16,16,4,4,0.023939,43.866535,5509.519087
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000021,21,21,5,5,51.835168,85.297845,6858.816763
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000028,28,28,6,6,0.024002,38.563798,8354.786082
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000029,29,29,7,7,27.870911,65.221272,8673.726712
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000033,33,33,8,8,53.220253,88.544767,9702.023999
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000035,35,35,9,9,26.227725,60.096652,10109.546009
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000036,36,36,10,10,54.210664,86.396669,10428.956131
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000037,37,37,11,11,0.025899,48.21803,10491.512333
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000038,38,38,12,12,25.49127,73.783125,10818.051613
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000039,39,39,13,13,51.066079,101.088577,11150.939146
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000041,41,41,14,14,25.412002,53.81644,11553.856623
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000044,44,44,15,15,26.583856,55.498809,12250.955626
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000048,48,48,16,16,52.599933,87.416794,13289.393497
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000053,53,53,17,17,26.960531,55.07249,14391.112019
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000054,54,54,18,18,52.951273,80.914625,14714.491965
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000058,58,58,19,19,0.027916,52.988898,15505.128004
formal-mixed-v1-seed202-rep1-baseline,baseline,202,1,formal-202-000060,60,60,20,20,669.937351,720.601586,16139.524882
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000005,5,5,1,1,25.978392,67.519131,2269.650354
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000010,10,10,2,2,0.027207,35.808844,4233.704743
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000012,12,12,3,3,57.168218,88.807659,4983.26512
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000013,13,13,4,4,0.023467,40.794543,5087.237902
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000015,15,15,5,5,58.820655,102.561628,5765.969241
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000017,17,17,6,6,25.701245,69.213077,6196.059561
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000018,18,18,7,7,52.555866,95.416795,6529.924027
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000019,19,19,8,8,0.024007,48.500046,6614.577609
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000023,23,23,9,9,27.911625,54.830531,7711.296217
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000025,25,25,10,10,0.02095,30.081019,8157.694416
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000027,27,27,11,11,58.145554,86.919916,8816.557253
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000029,29,29,12,12,26.064772,61.938876,9255.501099
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000033,33,33,13,13,52.202058,101.143088,10344.419372
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000038,38,38,14,14,28.091973,77.893499,11541.047662
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000041,41,41,15,15,31.945853,69.429229,12298.14009
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000043,43,43,16,16,0.039135,46.639298,12759.879758
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000044,44,44,17,17,29.005064,76.383992,13089.640279
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000045,45,45,18,18,58.751146,105.332068,13443.670527
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000052,52,52,19,19,0.02283,32.854744,15071.577969
formal-mixed-v1-seed303-rep1-baseline,baseline,303,1,formal-303-000058,58,58,20,20,221.287582,265.360702,16612.171498
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000001,1,1,1,1,0.036074,31.534559,494.664148
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000002,2,2,2,2,31.480518,61.290524,986.136462
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000003,3,3,3,3,61.242133,91.330822,1460.728938
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000006,6,6,4,4,50.20663,84.974666,2625.716897
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000008,8,8,5,5,26.683839,65.506117,3253.56713
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000011,11,11,6,6,26.943018,74.280121,4319.053088
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000014,14,14,7,7,25.738891,59.536168,5093.59166
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000016,16,16,8,8,0.019194,28.876289,5479.211431
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000019,19,19,9,9,0.01984,43.531752,6202.104761
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000020,20,20,10,10,25.728617,70.274543,6546.667627
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000023,23,23,11,11,25.62728,67.229294,7244.783931
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000027,27,27,12,12,51.434146,91.180615,8276.470949
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000030,30,30,13,13,51.631855,85.255989,8995.599816
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000036,36,36,14,14,55.973568,87.514994,10439.304482
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000037,37,37,15,15,0.022328,40.043298,10518.72988
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000040,40,40,16,16,0.022038,44.014313,11238.973109
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000045,45,45,17,17,53.657902,95.295938,12607.626749
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000046,46,46,18,18,0.022156,33.052212,12672.868552
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000053,53,53,19,19,32.776953,74.36592,14477.370612
formal-mixed-v1-seed101-rep2-baseline,baseline,101,2,formal-101-000059,59,59,20,20,306.852746,352.882489,15972.690576
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000005,5,5,1,1,28.480874,73.861976,2198.552258
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000011,11,11,2,2,29.3648,60.968853,4430.072455
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000012,12,12,3,3,57.724382,90.544565,4789.675515
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000016,16,16,4,4,0.060705,50.851349,5611.771674
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000021,21,21,5,5,52.198359,93.040388,6982.487159
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000028,28,28,6,6,0.02372,37.323001,8515.545814
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000029,29,29,7,7,32.144842,65.608658,8847.234656
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000033,33,33,8,8,52.1848,95.528625,9896.909056
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000035,35,35,9,9,28.140183,70.362654,10292.921817
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000036,36,36,10,10,55.193032,100.349566,10618.332107
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000037,37,37,11,11,0.023118,30.534347,10704.621352
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000038,38,38,12,12,26.16974,66.364445,11034.162169
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000039,39,39,13,13,62.009326,93.767408,11368.873799
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000041,41,41,14,14,29.633503,65.598473,11764.843075
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000044,44,44,15,15,25.796902,62.564743,12495.244836
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000048,48,48,16,16,52.127669,103.913992,13577.221842
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000053,53,53,17,17,26.775383,70.806424,14686.560144
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000054,54,54,18,18,53.703,100.266072,15018.797759
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000058,58,58,19,19,66.415866,96.400995,15830.301501
formal-mixed-v1-seed202-rep2-baseline,baseline,202,2,formal-202-000060,60,60,20,20,788.963813,818.355803,16479.660942
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000005,5,5,1,1,26.929412,54.81211,2497.078773
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000010,10,10,2,2,0.024764,37.019858,4264.477877
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000012,12,12,3,3,55.984966,96.154704,4959.051895
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000013,13,13,4,4,0.024834,42.977805,5070.36367
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000015,15,15,5,5,52.178154,93.050729,5780.284873
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000017,17,17,6,6,25.571131,75.834738,6165.635949
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000018,18,18,7,7,53.432901,105.217331,6485.439749
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000019,19,19,8,8,0.04012,36.05355,6548.812852
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000023,23,23,9,9,29.813098,80.269033,7558.734848
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000025,25,25,10,10,0.02346,26.825242,7970.617661
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000027,27,27,11,11,51.137103,80.717771,8607.665737
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000029,29,29,12,12,36.388504,77.989206,8996.064165
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000033,33,33,13,13,75.171602,119.771184,10004.562653
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000038,38,38,14,14,26.285182,54.953366,11184.499887
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000041,41,41,15,15,27.922296,60.410828,11897.099131
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000043,43,43,16,16,0.025408,40.152312,12262.847589
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000044,44,44,17,17,28.081556,66.397221,12592.797056
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000045,45,45,18,18,54.331639,93.131976,12915.281233
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000052,52,52,19,19,0.021445,35.465377,14405.553684
formal-mixed-v1-seed303-rep2-baseline,baseline,303,2,formal-303-000058,58,58,20,20,260.535102,294.392332,15902.639815
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000001,1,1,1,1,0.036116,31.502695,492.790987
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000002,2,2,2,2,31.446143,61.786914,999.307904
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000003,3,3,3,3,61.724024,91.524424,1504.53709
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000006,6,6,4,4,53.542492,92.78065,2702.123712
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000008,8,8,5,5,25.040666,63.117949,3416.03035
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000011,11,11,6,6,27.043538,71.819186,4402.244455
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000014,14,14,7,7,26.768153,65.820408,5183.551091
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000016,16,16,8,8,0.022538,44.137804,5574.774206
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000019,19,19,9,9,0.02161,29.444706,6292.524924
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000020,20,20,10,10,24.098448,53.982894,6610.549068
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000023,23,23,11,11,27.696479,76.953951,7353.294238
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000027,27,27,12,12,53.161169,93.809416,8405.465935
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000030,30,30,13,13,56.904082,95.298287,9143.011406
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000036,36,36,14,14,53.839306,93.713722,10561.30628
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000037,37,37,15,15,0.022005,29.778797,10638.552756
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000040,40,40,16,16,0.02143,38.31614,11343.670325
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000045,45,45,17,17,52.545491,88.710257,12707.156836
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000046,46,46,18,18,0.021762,46.697413,12778.618311
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000053,53,53,19,19,27.644434,76.078263,14545.096586
formal-mixed-v1-seed101-rep3-baseline,baseline,101,3,formal-101-000059,59,59,20,20,389.570339,433.528086,16005.993732
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000005,5,5,1,1,26.027863,57.539244,2259.832823
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000011,11,11,2,2,29.587527,65.553722,4542.316708
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000012,12,12,3,3,58.93658,93.247247,4880.592557
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000016,16,16,4,4,0.021785,45.427034,5684.54818
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000021,21,21,5,5,53.994137,96.485549,7065.945431
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000028,28,28,6,6,0.029457,37.234741,8549.585375
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000029,29,29,7,7,26.704995,62.423764,8867.759324
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000033,33,33,8,8,99.291771,140.220301,9898.886909
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000035,35,35,9,9,25.902586,66.356595,10277.98683
formal-mixed-v1-seed202-rep3-baseline,baseline,202,3,formal-202-000036,36,36,10,10,52.214274,93.157392,10599.850803
